NA,Model,VS-WF+All7-1,1.00000,2.00000,1.00000,1.00000,1.00000,1.00000,1.00000
NA,Model,VS-WF+All7-10,1.00000,3.00000,1.00000,4.00000,1.00000,3.00000,2.00000
NA,Model,VS-WF+All7-100,1.00000,1.00000,1.00000,2.00000,3.00000,4.00000,3.00000
NA,Model,VS-WF+All7-1000,1.00000,2.00000,2.00000,1.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All7-1001,4.00000,2.00000,1.00000,1.00000,1.00000,6.00000,1.00000
NA,Model,VS-WF+All7-1002,3.00000,3.00000,1.00000,1.00000,4.00000,1.00000,2.00000
NA,Model,VS-WF+All7-1003,2.00000,4.00000,5.00000,4.00000,1.00000,1.00000,3.00000
NA,Model,VS-WF+All7-1004,1.00000,1.00000,5.00000,1.00000,2.00000,4.00000,2.00000
NA,Model,VS-WF+All7-1005,1.00000,1.00000,2.00000,5.00000,4.00000,2.00000,1.00000
NA,Model,VS-WF+All7-1006,2.00000,3.00000,1.00000,1.00000,4.00000,1.00000,3.00000
NA,Model,VS-WF+All7-1007,1.00000,1.00000,2.00000,2.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All7-1008,1.00000,5.00000,4.00000,5.00000,4.00000,2.00000,1.00000
NA,Model,VS-WF+All7-1009,2.00000,4.00000,1.00000,3.00000,4.00000,5.00000,3.00000
NA,Model,VS-WF+All7-101,4.00000,3.00000,1.00000,3.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All7-1010,2.00000,1.00000,1.00000,5.00000,4.00000,1.00000,1.00000
NA,Model,VS-WF+All7-1011,1.00000,4.00000,4.00000,2.00000,5.00000,3.00000,1.00000
NA,Model,VS-WF+All7-1012,1.00000,1.00000,4.00000,1.00000,2.00000,4.00000,5.00000
NA,Model,VS-WF+All7-1013,2.00000,2.00000,1.00000,5.00000,1.00000,1.00000,4.00000
NA,Model,VS-WF+All7-1014,1.00000,1.00000,4.00000,5.00000,1.00000,2.00000,1.00000
NA,Model,VS-WF+All7-1015,2.00000,1.00000,1.00000,2.00000,2.00000,2.00000,1.00000
NA,Model,VS-WF+All7-1016,1.00000,4.00000,2.00000,1.00000,3.00000,3.00000,1.00000
